log_output,issue_category
cannot compile module [process ID: 621],Build failure
AssertionError: expected 5 to equal 4 [process ID: 963],Test failure
env variable missing [process ID: 890],Configuration error
invalid configuration file [process ID: 310],Configuration error
AssertionError: expected 5 to equal 4 [process ID: 600],Test failure
Expected true but got false [process ID: 808],Test failure
gitleaks: secret detected [process ID: 233],Security issue
Expected true but got false [process ID: 631],Test failure
timeout waiting for service [process ID: 519],Deployment error
pip install failed [process ID: 167],Dependency issue
ModuleNotFoundError [process ID: 894],Dependency issue
CORS policy violation [process ID: 320],Security issue
fatal error: file not found [process ID: 579],Build failure
dockerfile build error [process ID: 315],Configuration error
pip install failed [process ID: 142],Dependency issue
CORS policy violation [process ID: 983],Security issue
Jest failed with 1 failing test [process ID: 413],Test failure
Jest failed with 1 failing test [process ID: 902],Test failure
all tests passed [process ID: 795],Success
fatal error: file not found [process ID: 430],Build failure
all tests passed [process ID: 271],Success
AssertionError: expected 5 to equal 4 [process ID: 659],Test failure
make: *** [all] Error 2 [process ID: 891],Build failure
version conflict for package [process ID: 191],Dependency issue
0 vulnerabilities [process ID: 664],Success
timeout waiting for service [process ID: 153],Deployment error
pip install failed [process ID: 772],Dependency issue
syntax error in file [process ID: 985],Build failure
version conflict for package [process ID: 370],Dependency issue
CORS policy violation [process ID: 424],Security issue
vulnerability found in package [process ID: 676],Security issue
deployed successfully [process ID: 955],Success
Kubernetes pod crashloopbackoff [process ID: 706],Deployment error
npm ERR! missing dependency [process ID: 916],Dependency issue
Test suite failed [process ID: 537],Test failure
AWS credential invalid [process ID: 905],Deployment error
build successful [process ID: 464],Success
npm ERR! missing dependency [process ID: 961],Dependency issue
AWS credential invalid [process ID: 987],Deployment error
gitleaks: secret detected [process ID: 291],Security issue
Expected true but got false [process ID: 653],Test failure
make: *** [all] Error 2 [process ID: 856],Build failure
npm ERR! missing dependency [process ID: 451],Dependency issue
Expected true but got false [process ID: 944],Test failure
0 vulnerabilities [process ID: 439],Success
syntax error in file [process ID: 648],Build failure
failed to pull docker image [process ID: 474],Deployment error
env variable missing [process ID: 442],Configuration error
build successful [process ID: 709],Success
ModuleNotFoundError [process ID: 926],Dependency issue
YAML syntax error [process ID: 354],Configuration error
AWS credential invalid [process ID: 466],Deployment error
make: *** [all] Error 2 [process ID: 992],Build failure
gitleaks: secret detected [process ID: 549],Security issue
vulnerability found in package [process ID: 472],Security issue
ModuleNotFoundError [process ID: 198],Dependency issue
CORS policy violation [process ID: 257],Security issue
0 vulnerabilities [process ID: 737],Success
failed to pull docker image [process ID: 841],Deployment error
build successful [process ID: 287],Success
failed to pull docker image [process ID: 373],Deployment error
pip install failed [process ID: 981],Dependency issue
deployed successfully [process ID: 716],Success
all tests passed [process ID: 230],Success
0 vulnerabilities [process ID: 447],Success
Expected true but got false [process ID: 624],Test failure
AWS credential invalid [process ID: 105],Deployment error
CORS policy violation [process ID: 274],Security issue
ModuleNotFoundError [process ID: 878],Dependency issue
Jest failed with 1 failing test [process ID: 922],Test failure
vulnerability found in package [process ID: 896],Security issue
failed to pull docker image [process ID: 626],Deployment error
vulnerability found in package [process ID: 764],Security issue
pip install failed [process ID: 806],Dependency issue
all tests passed [process ID: 463],Success
make: *** [all] Error 2 [process ID: 353],Build failure
npm ERR! missing dependency [process ID: 376],Dependency issue
failed to pull docker image [process ID: 340],Deployment error
gitleaks: secret detected [process ID: 875],Security issue
fatal error: file not found [process ID: 144],Build failure
make: *** [all] Error 2 [process ID: 800],Build failure
invalid configuration file [process ID: 544],Configuration error
failed to pull docker image [process ID: 881],Deployment error
YAML syntax error [process ID: 131],Configuration error
unauthorized access token [process ID: 362],Security issue
unauthorized access token [process ID: 294],Security issue
YAML syntax error [process ID: 145],Configuration error
0 vulnerabilities [process ID: 692],Success
pip install failed [process ID: 176],Dependency issue
gitleaks: secret detected [process ID: 546],Security issue
Expected true but got false [process ID: 568],Test failure
Jest failed with 1 failing test [process ID: 650],Test failure
AWS credential invalid [process ID: 323],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 412],Test failure
version conflict for package [process ID: 364],Dependency issue
YAML syntax error [process ID: 670],Configuration error
vulnerability found in package [process ID: 554],Security issue
failed to pull docker image [process ID: 884],Deployment error
env variable missing [process ID: 605],Configuration error
dockerfile build error [process ID: 194],Configuration error
version conflict for package [process ID: 723],Dependency issue
failed to pull docker image [process ID: 653],Deployment error
pip install failed [process ID: 389],Dependency issue
deployed successfully [process ID: 906],Success
deployed successfully [process ID: 226],Success
Jest failed with 1 failing test [process ID: 813],Test failure
failed to pull docker image [process ID: 160],Deployment error
timeout waiting for service [process ID: 437],Deployment error
Jest failed with 1 failing test [process ID: 846],Test failure
make: *** [all] Error 2 [process ID: 626],Build failure
version conflict for package [process ID: 308],Dependency issue
pip install failed [process ID: 528],Dependency issue
dockerfile build error [process ID: 476],Configuration error
syntax error in file [process ID: 867],Build failure
cannot compile module [process ID: 868],Build failure
YAML syntax error [process ID: 977],Configuration error
vulnerability found in package [process ID: 984],Security issue
Jest failed with 1 failing test [process ID: 955],Test failure
make: *** [all] Error 2 [process ID: 888],Build failure
vulnerability found in package [process ID: 733],Security issue
build successful [process ID: 925],Success
ModuleNotFoundError [process ID: 411],Dependency issue
vulnerability found in package [process ID: 978],Security issue
gitleaks: secret detected [process ID: 930],Security issue
ModuleNotFoundError [process ID: 571],Dependency issue
Kubernetes pod crashloopbackoff [process ID: 794],Deployment error
Jest failed with 1 failing test [process ID: 832],Test failure
unauthorized access token [process ID: 838],Security issue
build successful [process ID: 611],Success
syntax error in file [process ID: 394],Build failure
env variable missing [process ID: 260],Configuration error
Expected true but got false [process ID: 615],Test failure
npm ERR! missing dependency [process ID: 562],Dependency issue
deployed successfully [process ID: 845],Success
Kubernetes pod crashloopbackoff [process ID: 161],Deployment error
Test suite failed [process ID: 491],Test failure
AssertionError: expected 5 to equal 4 [process ID: 893],Test failure
invalid configuration file [process ID: 288],Configuration error
version conflict for package [process ID: 180],Dependency issue
version conflict for package [process ID: 604],Dependency issue
env variable missing [process ID: 811],Configuration error
version conflict for package [process ID: 198],Dependency issue
timeout waiting for service [process ID: 937],Deployment error
env variable missing [process ID: 385],Configuration error
dockerfile build error [process ID: 476],Configuration error
fatal error: file not found [process ID: 245],Build failure
env variable missing [process ID: 270],Configuration error
timeout waiting for service [process ID: 202],Deployment error
Expected true but got false [process ID: 434],Test failure
env variable missing [process ID: 769],Configuration error
timeout waiting for service [process ID: 539],Deployment error
unauthorized access token [process ID: 533],Security issue
cannot compile module [process ID: 374],Build failure
version conflict for package [process ID: 680],Dependency issue
version conflict for package [process ID: 731],Dependency issue
deployed successfully [process ID: 555],Success
Test suite failed [process ID: 771],Test failure
deployed successfully [process ID: 812],Success
npm ERR! missing dependency [process ID: 232],Dependency issue
gitleaks: secret detected [process ID: 117],Security issue
AWS credential invalid [process ID: 533],Deployment error
gitleaks: secret detected [process ID: 597],Security issue
CORS policy violation [process ID: 426],Security issue
dockerfile build error [process ID: 631],Configuration error
fatal error: file not found [process ID: 101],Build failure
cannot compile module [process ID: 307],Build failure
YAML syntax error [process ID: 788],Configuration error
make: *** [all] Error 2 [process ID: 403],Build failure
AWS credential invalid [process ID: 491],Deployment error
version conflict for package [process ID: 371],Dependency issue
0 vulnerabilities [process ID: 768],Success
YAML syntax error [process ID: 333],Configuration error
Jest failed with 1 failing test [process ID: 111],Test failure
gitleaks: secret detected [process ID: 786],Security issue
syntax error in file [process ID: 490],Build failure
AWS credential invalid [process ID: 206],Deployment error
deployed successfully [process ID: 408],Success
all tests passed [process ID: 358],Success
invalid configuration file [process ID: 586],Configuration error
invalid configuration file [process ID: 854],Configuration error
env variable missing [process ID: 622],Configuration error
gitleaks: secret detected [process ID: 408],Security issue
Test suite failed [process ID: 808],Test failure
pip install failed [process ID: 839],Dependency issue
AWS credential invalid [process ID: 581],Deployment error
gitleaks: secret detected [process ID: 841],Security issue
Kubernetes pod crashloopbackoff [process ID: 273],Deployment error
AWS credential invalid [process ID: 770],Deployment error
ModuleNotFoundError [process ID: 215],Dependency issue
YAML syntax error [process ID: 119],Configuration error
cannot compile module [process ID: 910],Build failure
unauthorized access token [process ID: 583],Security issue
AssertionError: expected 5 to equal 4 [process ID: 469],Test failure
AWS credential invalid [process ID: 535],Deployment error
all tests passed [process ID: 782],Success
syntax error in file [process ID: 808],Build failure
env variable missing [process ID: 471],Configuration error
build successful [process ID: 181],Success
pip install failed [process ID: 230],Dependency issue
version conflict for package [process ID: 847],Dependency issue
env variable missing [process ID: 356],Configuration error
invalid configuration file [process ID: 959],Configuration error
pip install failed [process ID: 182],Dependency issue
dockerfile build error [process ID: 507],Configuration error
npm ERR! missing dependency [process ID: 948],Dependency issue
CORS policy violation [process ID: 651],Security issue
dockerfile build error [process ID: 543],Configuration error
Jest failed with 1 failing test [process ID: 380],Test failure
unauthorized access token [process ID: 157],Security issue
cannot compile module [process ID: 816],Build failure
syntax error in file [process ID: 238],Build failure
invalid configuration file [process ID: 599],Configuration error
version conflict for package [process ID: 443],Dependency issue
YAML syntax error [process ID: 109],Configuration error
failed to pull docker image [process ID: 228],Deployment error
build successful [process ID: 389],Success
gitleaks: secret detected [process ID: 659],Security issue
syntax error in file [process ID: 477],Build failure
Test suite failed [process ID: 964],Test failure
YAML syntax error [process ID: 491],Configuration error
build successful [process ID: 478],Success
timeout waiting for service [process ID: 860],Deployment error
syntax error in file [process ID: 199],Build failure
all tests passed [process ID: 753],Success
npm ERR! missing dependency [process ID: 475],Dependency issue
YAML syntax error [process ID: 569],Configuration error
npm ERR! missing dependency [process ID: 529],Dependency issue
timeout waiting for service [process ID: 614],Deployment error
cannot compile module [process ID: 883],Build failure
YAML syntax error [process ID: 720],Configuration error
build successful [process ID: 878],Success
gitleaks: secret detected [process ID: 371],Security issue
cannot compile module [process ID: 328],Build failure
unauthorized access token [process ID: 163],Security issue
pip install failed [process ID: 626],Dependency issue
AWS credential invalid [process ID: 164],Deployment error
make: *** [all] Error 2 [process ID: 725],Build failure
npm ERR! missing dependency [process ID: 412],Dependency issue
timeout waiting for service [process ID: 736],Deployment error
npm ERR! missing dependency [process ID: 287],Dependency issue
timeout waiting for service [process ID: 668],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 592],Test failure
ModuleNotFoundError [process ID: 989],Dependency issue
pip install failed [process ID: 707],Dependency issue
invalid configuration file [process ID: 890],Configuration error
version conflict for package [process ID: 496],Dependency issue
npm ERR! missing dependency [process ID: 592],Dependency issue
cannot compile module [process ID: 295],Build failure
vulnerability found in package [process ID: 526],Security issue
0 vulnerabilities [process ID: 586],Success
deployed successfully [process ID: 854],Success
make: *** [all] Error 2 [process ID: 959],Build failure
YAML syntax error [process ID: 476],Configuration error
syntax error in file [process ID: 326],Build failure
failed to pull docker image [process ID: 226],Deployment error
version conflict for package [process ID: 173],Dependency issue
YAML syntax error [process ID: 668],Configuration error
dockerfile build error [process ID: 186],Configuration error
AWS credential invalid [process ID: 991],Deployment error
invalid configuration file [process ID: 414],Configuration error
CORS policy violation [process ID: 493],Security issue
failed to pull docker image [process ID: 655],Deployment error
env variable missing [process ID: 946],Configuration error
env variable missing [process ID: 770],Configuration error
timeout waiting for service [process ID: 387],Deployment error
fatal error: file not found [process ID: 177],Build failure
all tests passed [process ID: 472],Success
pip install failed [process ID: 874],Dependency issue
all tests passed [process ID: 902],Success
Kubernetes pod crashloopbackoff [process ID: 117],Deployment error
unauthorized access token [process ID: 341],Security issue
build successful [process ID: 979],Success
0 vulnerabilities [process ID: 192],Success
unauthorized access token [process ID: 589],Security issue
syntax error in file [process ID: 304],Build failure
syntax error in file [process ID: 487],Build failure
vulnerability found in package [process ID: 910],Security issue
build successful [process ID: 223],Success
deployed successfully [process ID: 659],Success
build successful [process ID: 198],Success
build successful [process ID: 377],Success
pip install failed [process ID: 658],Dependency issue
env variable missing [process ID: 370],Configuration error
npm ERR! missing dependency [process ID: 145],Dependency issue
unauthorized access token [process ID: 441],Security issue
Test suite failed [process ID: 729],Test failure
timeout waiting for service [process ID: 634],Deployment error
timeout waiting for service [process ID: 531],Deployment error
gitleaks: secret detected [process ID: 303],Security issue
build successful [process ID: 560],Success
gitleaks: secret detected [process ID: 461],Security issue
make: *** [all] Error 2 [process ID: 972],Build failure
AWS credential invalid [process ID: 233],Deployment error
fatal error: file not found [process ID: 136],Build failure
unauthorized access token [process ID: 560],Security issue
all tests passed [process ID: 818],Success
env variable missing [process ID: 694],Configuration error
Kubernetes pod crashloopbackoff [process ID: 908],Deployment error
Jest failed with 1 failing test [process ID: 535],Test failure
cannot compile module [process ID: 125],Build failure
gitleaks: secret detected [process ID: 713],Security issue
pip install failed [process ID: 811],Dependency issue
gitleaks: secret detected [process ID: 407],Security issue
Kubernetes pod crashloopbackoff [process ID: 480],Deployment error
failed to pull docker image [process ID: 937],Deployment error
gitleaks: secret detected [process ID: 349],Security issue
fatal error: file not found [process ID: 701],Build failure
AssertionError: expected 5 to equal 4 [process ID: 862],Test failure
unauthorized access token [process ID: 434],Security issue
Expected true but got false [process ID: 895],Test failure
fatal error: file not found [process ID: 663],Build failure
fatal error: file not found [process ID: 683],Build failure
AWS credential invalid [process ID: 855],Deployment error
unauthorized access token [process ID: 989],Security issue
CORS policy violation [process ID: 952],Security issue
version conflict for package [process ID: 941],Dependency issue
Test suite failed [process ID: 147],Test failure
AssertionError: expected 5 to equal 4 [process ID: 868],Test failure
unauthorized access token [process ID: 159],Security issue
fatal error: file not found [process ID: 310],Build failure
gitleaks: secret detected [process ID: 139],Security issue
build successful [process ID: 873],Success
timeout waiting for service [process ID: 513],Deployment error
Expected true but got false [process ID: 774],Test failure
Kubernetes pod crashloopbackoff [process ID: 900],Deployment error
AWS credential invalid [process ID: 653],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 386],Test failure
Jest failed with 1 failing test [process ID: 140],Test failure
dockerfile build error [process ID: 608],Configuration error
YAML syntax error [process ID: 283],Configuration error
env variable missing [process ID: 579],Configuration error
unauthorized access token [process ID: 344],Security issue
CORS policy violation [process ID: 127],Security issue
dockerfile build error [process ID: 159],Configuration error
env variable missing [process ID: 860],Configuration error
invalid configuration file [process ID: 803],Configuration error
invalid configuration file [process ID: 249],Configuration error
cannot compile module [process ID: 911],Build failure
gitleaks: secret detected [process ID: 724],Security issue
syntax error in file [process ID: 525],Build failure
vulnerability found in package [process ID: 898],Security issue
failed to pull docker image [process ID: 122],Deployment error
failed to pull docker image [process ID: 265],Deployment error
syntax error in file [process ID: 509],Build failure
unauthorized access token [process ID: 172],Security issue
invalid configuration file [process ID: 292],Configuration error
build successful [process ID: 458],Success
env variable missing [process ID: 415],Configuration error
0 vulnerabilities [process ID: 533],Success
npm ERR! missing dependency [process ID: 885],Dependency issue
AWS credential invalid [process ID: 652],Deployment error
ModuleNotFoundError [process ID: 561],Dependency issue
0 vulnerabilities [process ID: 254],Success
build successful [process ID: 447],Success
syntax error in file [process ID: 333],Build failure
make: *** [all] Error 2 [process ID: 332],Build failure
YAML syntax error [process ID: 332],Configuration error
CORS policy violation [process ID: 762],Security issue
dockerfile build error [process ID: 292],Configuration error
cannot compile module [process ID: 532],Build failure
deployed successfully [process ID: 571],Success
cannot compile module [process ID: 141],Build failure
timeout waiting for service [process ID: 995],Deployment error
Test suite failed [process ID: 466],Test failure
Expected true but got false [process ID: 693],Test failure
AWS credential invalid [process ID: 513],Deployment error
pip install failed [process ID: 353],Dependency issue
env variable missing [process ID: 717],Configuration error
Expected true but got false [process ID: 874],Test failure
Test suite failed [process ID: 139],Test failure
invalid configuration file [process ID: 593],Configuration error
Kubernetes pod crashloopbackoff [process ID: 522],Deployment error
YAML syntax error [process ID: 412],Configuration error
timeout waiting for service [process ID: 926],Deployment error
Kubernetes pod crashloopbackoff [process ID: 197],Deployment error
cannot compile module [process ID: 189],Build failure
timeout waiting for service [process ID: 603],Deployment error
npm ERR! missing dependency [process ID: 952],Dependency issue
syntax error in file [process ID: 264],Build failure
ModuleNotFoundError [process ID: 496],Dependency issue
make: *** [all] Error 2 [process ID: 812],Build failure
Kubernetes pod crashloopbackoff [process ID: 755],Deployment error
timeout waiting for service [process ID: 624],Deployment error
AWS credential invalid [process ID: 750],Deployment error
Expected true but got false [process ID: 513],Test failure
build successful [process ID: 621],Success
env variable missing [process ID: 504],Configuration error
pip install failed [process ID: 293],Dependency issue
timeout waiting for service [process ID: 238],Deployment error
Expected true but got false [process ID: 863],Test failure
AssertionError: expected 5 to equal 4 [process ID: 350],Test failure
make: *** [all] Error 2 [process ID: 398],Build failure
Test suite failed [process ID: 194],Test failure
cannot compile module [process ID: 809],Build failure
pip install failed [process ID: 398],Dependency issue
pip install failed [process ID: 925],Dependency issue
build successful [process ID: 363],Success
deployed successfully [process ID: 375],Success
invalid configuration file [process ID: 516],Configuration error
build successful [process ID: 717],Success
cannot compile module [process ID: 993],Build failure
0 vulnerabilities [process ID: 432],Success
version conflict for package [process ID: 332],Dependency issue
invalid configuration file [process ID: 447],Configuration error
syntax error in file [process ID: 319],Build failure
0 vulnerabilities [process ID: 270],Success
npm ERR! missing dependency [process ID: 815],Dependency issue
0 vulnerabilities [process ID: 687],Success
Kubernetes pod crashloopbackoff [process ID: 460],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 129],Test failure
vulnerability found in package [process ID: 535],Security issue
cannot compile module [process ID: 644],Build failure
dockerfile build error [process ID: 686],Configuration error
unauthorized access token [process ID: 103],Security issue
invalid configuration file [process ID: 915],Configuration error
fatal error: file not found [process ID: 713],Build failure
make: *** [all] Error 2 [process ID: 915],Build failure
deployed successfully [process ID: 810],Success
npm ERR! missing dependency [process ID: 899],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 403],Test failure
Expected true but got false [process ID: 387],Test failure
unauthorized access token [process ID: 409],Security issue
unauthorized access token [process ID: 197],Security issue
fatal error: file not found [process ID: 499],Build failure
make: *** [all] Error 2 [process ID: 945],Build failure
npm ERR! missing dependency [process ID: 996],Dependency issue
Expected true but got false [process ID: 268],Test failure
Jest failed with 1 failing test [process ID: 317],Test failure
Kubernetes pod crashloopbackoff [process ID: 137],Deployment error
ModuleNotFoundError [process ID: 515],Dependency issue
env variable missing [process ID: 544],Configuration error
syntax error in file [process ID: 598],Build failure
Kubernetes pod crashloopbackoff [process ID: 232],Deployment error
deployed successfully [process ID: 587],Success
deployed successfully [process ID: 197],Success
deployed successfully [process ID: 734],Success
syntax error in file [process ID: 823],Build failure
vulnerability found in package [process ID: 588],Security issue
cannot compile module [process ID: 630],Build failure
timeout waiting for service [process ID: 595],Deployment error
version conflict for package [process ID: 603],Dependency issue
build successful [process ID: 498],Success
all tests passed [process ID: 254],Success
unauthorized access token [process ID: 310],Security issue
dockerfile build error [process ID: 490],Configuration error
all tests passed [process ID: 819],Success
vulnerability found in package [process ID: 623],Security issue
CORS policy violation [process ID: 226],Security issue
timeout waiting for service [process ID: 343],Deployment error
npm ERR! missing dependency [process ID: 631],Dependency issue
Test suite failed [process ID: 695],Test failure
YAML syntax error [process ID: 891],Configuration error
AWS credential invalid [process ID: 824],Deployment error
dockerfile build error [process ID: 940],Configuration error
syntax error in file [process ID: 314],Build failure
timeout waiting for service [process ID: 213],Deployment error
build successful [process ID: 736],Success
failed to pull docker image [process ID: 186],Deployment error
syntax error in file [process ID: 291],Build failure
Expected true but got false [process ID: 193],Test failure
Expected true but got false [process ID: 720],Test failure
0 vulnerabilities [process ID: 220],Success
AssertionError: expected 5 to equal 4 [process ID: 342],Test failure
vulnerability found in package [process ID: 213],Security issue
fatal error: file not found [process ID: 448],Build failure
0 vulnerabilities [process ID: 673],Success
Kubernetes pod crashloopbackoff [process ID: 522],Deployment error
make: *** [all] Error 2 [process ID: 584],Build failure
YAML syntax error [process ID: 458],Configuration error
env variable missing [process ID: 941],Configuration error
build successful [process ID: 716],Success
fatal error: file not found [process ID: 996],Build failure
build successful [process ID: 959],Success
unauthorized access token [process ID: 714],Security issue
build successful [process ID: 408],Success
YAML syntax error [process ID: 241],Configuration error
fatal error: file not found [process ID: 109],Build failure
invalid configuration file [process ID: 233],Configuration error
fatal error: file not found [process ID: 943],Build failure
CORS policy violation [process ID: 389],Security issue
AssertionError: expected 5 to equal 4 [process ID: 735],Test failure
cannot compile module [process ID: 684],Build failure
make: *** [all] Error 2 [process ID: 307],Build failure
unauthorized access token [process ID: 613],Security issue
YAML syntax error [process ID: 843],Configuration error
npm ERR! missing dependency [process ID: 479],Dependency issue
0 vulnerabilities [process ID: 683],Success
AssertionError: expected 5 to equal 4 [process ID: 533],Test failure
all tests passed [process ID: 564],Success
Expected true but got false [process ID: 511],Test failure
gitleaks: secret detected [process ID: 216],Security issue
invalid configuration file [process ID: 310],Configuration error
pip install failed [process ID: 908],Dependency issue
Kubernetes pod crashloopbackoff [process ID: 508],Deployment error
deployed successfully [process ID: 463],Success
fatal error: file not found [process ID: 701],Build failure
pip install failed [process ID: 691],Dependency issue
invalid configuration file [process ID: 473],Configuration error
version conflict for package [process ID: 190],Dependency issue
vulnerability found in package [process ID: 415],Security issue
vulnerability found in package [process ID: 478],Security issue
YAML syntax error [process ID: 600],Configuration error
env variable missing [process ID: 664],Configuration error
Jest failed with 1 failing test [process ID: 615],Test failure
npm ERR! missing dependency [process ID: 927],Dependency issue
env variable missing [process ID: 360],Configuration error
YAML syntax error [process ID: 518],Configuration error
ModuleNotFoundError [process ID: 579],Dependency issue
timeout waiting for service [process ID: 576],Deployment error
timeout waiting for service [process ID: 436],Deployment error
cannot compile module [process ID: 360],Build failure
AssertionError: expected 5 to equal 4 [process ID: 748],Test failure
failed to pull docker image [process ID: 525],Deployment error
deployed successfully [process ID: 295],Success
Expected true but got false [process ID: 179],Test failure
syntax error in file [process ID: 272],Build failure
fatal error: file not found [process ID: 770],Build failure
pip install failed [process ID: 550],Dependency issue
failed to pull docker image [process ID: 551],Deployment error
Jest failed with 1 failing test [process ID: 913],Test failure
CORS policy violation [process ID: 308],Security issue
0 vulnerabilities [process ID: 870],Success
failed to pull docker image [process ID: 837],Deployment error
deployed successfully [process ID: 110],Success
npm ERR! missing dependency [process ID: 193],Dependency issue
vulnerability found in package [process ID: 134],Security issue
AssertionError: expected 5 to equal 4 [process ID: 302],Test failure
AWS credential invalid [process ID: 625],Deployment error
unauthorized access token [process ID: 661],Security issue
env variable missing [process ID: 285],Configuration error
cannot compile module [process ID: 560],Build failure
syntax error in file [process ID: 601],Build failure
0 vulnerabilities [process ID: 925],Success
cannot compile module [process ID: 136],Build failure
gitleaks: secret detected [process ID: 541],Security issue
Test suite failed [process ID: 632],Test failure
make: *** [all] Error 2 [process ID: 669],Build failure
Kubernetes pod crashloopbackoff [process ID: 807],Deployment error
all tests passed [process ID: 300],Success
AssertionError: expected 5 to equal 4 [process ID: 698],Test failure
failed to pull docker image [process ID: 130],Deployment error
env variable missing [process ID: 537],Configuration error
Test suite failed [process ID: 826],Test failure
npm ERR! missing dependency [process ID: 155],Dependency issue
Jest failed with 1 failing test [process ID: 201],Test failure
make: *** [all] Error 2 [process ID: 120],Build failure
invalid configuration file [process ID: 917],Configuration error
Jest failed with 1 failing test [process ID: 757],Test failure
build successful [process ID: 441],Success
vulnerability found in package [process ID: 957],Security issue
gitleaks: secret detected [process ID: 630],Security issue
YAML syntax error [process ID: 812],Configuration error
CORS policy violation [process ID: 437],Security issue
Test suite failed [process ID: 235],Test failure
dockerfile build error [process ID: 846],Configuration error
npm ERR! missing dependency [process ID: 634],Dependency issue
syntax error in file [process ID: 596],Build failure
Kubernetes pod crashloopbackoff [process ID: 954],Deployment error
vulnerability found in package [process ID: 909],Security issue
dockerfile build error [process ID: 821],Configuration error
deployed successfully [process ID: 606],Success
AWS credential invalid [process ID: 859],Deployment error
CORS policy violation [process ID: 196],Security issue
CORS policy violation [process ID: 752],Security issue
AWS credential invalid [process ID: 383],Deployment error
version conflict for package [process ID: 183],Dependency issue
make: *** [all] Error 2 [process ID: 433],Build failure
Expected true but got false [process ID: 221],Test failure
ModuleNotFoundError [process ID: 645],Dependency issue
Test suite failed [process ID: 369],Test failure
unauthorized access token [process ID: 235],Security issue
failed to pull docker image [process ID: 692],Deployment error
Test suite failed [process ID: 534],Test failure
all tests passed [process ID: 279],Success
invalid configuration file [process ID: 565],Configuration error
deployed successfully [process ID: 439],Success
unauthorized access token [process ID: 549],Security issue
deployed successfully [process ID: 213],Success
AWS credential invalid [process ID: 149],Deployment error
all tests passed [process ID: 751],Success
version conflict for package [process ID: 967],Dependency issue
version conflict for package [process ID: 154],Dependency issue
Expected true but got false [process ID: 560],Test failure
pip install failed [process ID: 335],Dependency issue
CORS policy violation [process ID: 298],Security issue
pip install failed [process ID: 678],Dependency issue
CORS policy violation [process ID: 766],Security issue
YAML syntax error [process ID: 868],Configuration error
Test suite failed [process ID: 621],Test failure
ModuleNotFoundError [process ID: 792],Dependency issue
pip install failed [process ID: 342],Dependency issue
CORS policy violation [process ID: 838],Security issue
Kubernetes pod crashloopbackoff [process ID: 316],Deployment error
fatal error: file not found [process ID: 450],Build failure
YAML syntax error [process ID: 964],Configuration error
Test suite failed [process ID: 725],Test failure
env variable missing [process ID: 529],Configuration error
Kubernetes pod crashloopbackoff [process ID: 615],Deployment error
vulnerability found in package [process ID: 690],Security issue
AssertionError: expected 5 to equal 4 [process ID: 275],Test failure
CORS policy violation [process ID: 701],Security issue
YAML syntax error [process ID: 367],Configuration error
syntax error in file [process ID: 854],Build failure
AssertionError: expected 5 to equal 4 [process ID: 591],Test failure
invalid configuration file [process ID: 894],Configuration error
vulnerability found in package [process ID: 968],Security issue
CORS policy violation [process ID: 525],Security issue
invalid configuration file [process ID: 211],Configuration error
gitleaks: secret detected [process ID: 604],Security issue
timeout waiting for service [process ID: 352],Deployment error
cannot compile module [process ID: 243],Build failure
pip install failed [process ID: 614],Dependency issue
dockerfile build error [process ID: 853],Configuration error
npm ERR! missing dependency [process ID: 123],Dependency issue
npm ERR! missing dependency [process ID: 828],Dependency issue
npm ERR! missing dependency [process ID: 334],Dependency issue
Test suite failed [process ID: 315],Test failure
cannot compile module [process ID: 887],Build failure
env variable missing [process ID: 511],Configuration error
Expected true but got false [process ID: 834],Test failure
env variable missing [process ID: 912],Configuration error
Jest failed with 1 failing test [process ID: 952],Test failure
all tests passed [process ID: 879],Success
npm ERR! missing dependency [process ID: 763],Dependency issue
failed to pull docker image [process ID: 487],Deployment error
env variable missing [process ID: 837],Configuration error
failed to pull docker image [process ID: 203],Deployment error
failed to pull docker image [process ID: 653],Deployment error
YAML syntax error [process ID: 145],Configuration error
ModuleNotFoundError [process ID: 464],Dependency issue
build successful [process ID: 367],Success
Jest failed with 1 failing test [process ID: 910],Test failure
YAML syntax error [process ID: 515],Configuration error
failed to pull docker image [process ID: 415],Deployment error
syntax error in file [process ID: 255],Build failure
npm ERR! missing dependency [process ID: 222],Dependency issue
Kubernetes pod crashloopbackoff [process ID: 524],Deployment error
env variable missing [process ID: 765],Configuration error
deployed successfully [process ID: 721],Success
invalid configuration file [process ID: 810],Configuration error
Kubernetes pod crashloopbackoff [process ID: 480],Deployment error
vulnerability found in package [process ID: 916],Security issue
0 vulnerabilities [process ID: 507],Success
failed to pull docker image [process ID: 535],Deployment error
build successful [process ID: 216],Success
CORS policy violation [process ID: 183],Security issue
unauthorized access token [process ID: 503],Security issue
Test suite failed [process ID: 780],Test failure
all tests passed [process ID: 449],Success
gitleaks: secret detected [process ID: 899],Security issue
Jest failed with 1 failing test [process ID: 609],Test failure
build successful [process ID: 375],Success
YAML syntax error [process ID: 634],Configuration error
0 vulnerabilities [process ID: 202],Success
deployed successfully [process ID: 418],Success
all tests passed [process ID: 273],Success
deployed successfully [process ID: 650],Success
AWS credential invalid [process ID: 722],Deployment error
